"","LATITUDE","LONGITUDE","FIELD ID","year"
"1",47.2197913,-119.7920962,"W01",2023
"2",47.16485,-119.800437,"W02",2023
"3",47.132848,-119.7115504,"W03",2023
"4",47.001038,-119.756931,"W04",2023
"5",46.968473,-119.766785,"W05",2023
"6",46.700898,-119.8593522,"W06",2023
"7",46.721995,-119.811186,"W07",2023
"8",46.95753,-119.910335,"W08",2023
"9",47.06952,-119.9027,"W09",2023
"10",47.035172,-119.749924,"W10",2023
"11",47.189555,-119.639695,"NC1",2023
"12",47.132171,-119.53602,"NC2",2023
"13",47.102267,-119.576203,"NC3",2023
"14",46.999777,-119.546296,"NC4",2023
"15",46.959099,-119.406817,"NC5",2023
"16",46.920166,-119.54228,"NC6",2023
"17",46.897229,-119.389185,"NC7",2023
"18",47.145153,-119.163366,"N1",2023
"19",47.136087,-119.054791,"N2",2023
"20",47.040696,-119.076876,"N3",2023
"21",47.042192,-118.941515,"N4",2023
"22",46.970238,-118.885806,"N5",2023
"23",46.858793,-118.983338,"N6",2023
"24",46.78024,-118.963153,"N7",2023
"25",46.976375,-119.124667,"N8",2023
"26",47.043338,-119.227086,"N9",2023
"27",46.002312,-119.1283369,"S1",2023
"28",46.0262774,-119.2399668,"S2",2023
"29",45.9750313,-119.2804407,"S3",2023
"30",45.9363199,-119.4653907,"S4",2023
"31",45.8964153,-119.782592,"S5",2023
"32",45.9589713,-119.778643,"S6",2023
"33",46.0080838,-119.6019205,"S7",2023
"34",46.0586462,-119.3945965,"S8",2023
"35",46.2539885,-118.7167013,"SE1",2023
"36",46.3140276,-118.6540684,"SE2",2023
"37",46.1889675,-118.9693537,"SE3",2023
"38",46.2980379,-118.84469,"SE4",2023
"39",46.2803432,-118.9865685,"SE5",2023
"40",46.3673315,-119.2389264,"C1",2023
"41",46.3767261,-119.1412974,"C2",2023
"42",46.4098434,-119.0917151,"C3",2023
"43",46.4161803,-119.1649672,"C4",2023
"44",46.476381,-119.121271,"C5",2023
"45",46.5049264,-119.2322652,"C6",2023
"46",46.564519,-119.062879,"C7",2023
"47",46.6784037,-118.9684525,"C8",2023
"48",47.183188,-119.8304,"W01",2022
"49",47.164763,-119.779193,"W02",2022
"50",47.138532,-119.703595,"W03",2022
"51",47.01558,-119.813218,"W04",2022
"52",46.964157,-119.914003,"W05",2022
"53",46.906255,-119.687912,"W06",2022
"54",46.729914,-119.78712,"W07",2022
"55",46.693342,-119.836281,"W08",2022
"56",47.072815,-119.937821,"W09",2022
"57",47.191174,-119.650134,"NC1",2022
"58",47.162308,-119.539717,"NC2",2022
"59",47.091093,-119.597575,"NC3",2022
"60",47.008305,-119.538774,"NC4",2022
"61",46.912661,-119.343848,"NC5",2022
"62",46.96466,-119.413267,"NC6",2022
"63",47.13773,-119.158423,"N01",2022
"64",47.064894,-119.143067,"N02",2022
"65",47.028067,-118.950593,"N03",2022
"66",46.963846,-118.897578,"N04",2022
"67",46.867372,-118.970411,"N05",2022
"68",46.765997,-118.987789,"N06",2022
"69",46.70007,-118.917811,"N07",2022
"70",46.795844,-119.144525,"N08",2022
"71",46.014129,-119.242344,"S01",2022
"72",46.069966,-119.420819,"S02",2022
"73",45.984192,-119.275164,"S03",2022
"74",45.939543,-119.476537,"S04",2022
"75",45.945515,-119.85046,"S05",2022
"76",45.937717,-119.78,"S06",2022
"77",45.902327,-119.787957,"S07",2022
"78",45.983991,-119.579438,"S08",2022
"79",46.217849,-118.752905,"SE1",2022
"80",46.296706,-118.662301,"SE2",2022
"81",46.293563,-118.727335,"SE3",2022
"82",46.23913,-119.017041,"SE4",2022
"83",46.326818,-118.819066,"SE5",2022
"84",46.377687,-119.171611,"C01",2022
"85",46.370063,-119.229029,"C02",2022
"86",46.42911,-119.13393,"C03",2022
"87",46.45574,-119.199172,"C04",2022
"88",46.496215,-119.099463,"C05",2022
"89",46.520516,-119.205959,"C06",2022
"90",46.556278,-119.246105,"C07",2022
"91",46.620687,-119.218912,"C08",2022
"92",47.219307,-119.7781722,"W01",2021
"93",47.197947,-119.8748527,"W02",2021
"94",47.139733,-119.7112587,"W03",2021
"95",47.073844,-119.690732,"W04",2021
"96",46.913845,-119.7167123,"W05",2021
"97",46.938053,-119.7505253,"W06",2021
"98",46.958251,-119.878469,"W07",2021
"99",47.044444,-119.8322002,"W08",2021
"100",46.679233,-119.890308,"W09",2021
"101",46.739508,-119.738041,"W10",2021
"102",47.184851,-119.597528,"NC1",2021
"103",47.150771,-119.618056,"NC2",2021
"104",47.073844,-119.6907432,"NC3",2021
"105",46.920591,-119.5500741,"NC4",2021
"106",46.890281,-119.334284,"NC5",2021
"107",47.074149,-119.530838,"NC6",2021
"108",46.724149,-119.282682,"NC7",2021
"109",47.144882,-119.1287406,"N01",2021
"110",47.108373,-119.0581154,"N02",2021
"111",47.072338,-119.132648,"N03",2021
"112",47.049615,-118.94063,"N04",2021
"113",46.975274,-118.994044,"N05",2021
"114",46.975274,-118.994049,"N06",2021
"115",46.821887,-118.952056,"N07",2021
"116",46.845773,-119.007121,"N08",2021
"117",46.795715,-119.0567806,"N09",2021
"118",46.770927,-118.9630539,"N10",2021
"119",46.016937,-119.23376,"S01",2021
"120",46.026266,-119.325966,"S02",2021
"121",45.979447,-119.197535,"S03",2021
"122",45.939718,-119.476951,"S04",2021
"123",45.997716,-119.583166,"S05",2021
"124",45.899696,-119.801022,"S06",2021
"125",45.94554,-119.822058,"S07",2021
"126",45.8747,-119.877652,"S08",2021
"127",46.228315,-118.74788,"SE1",2021
"128",46.2837,-118.669747,"SE2",2021
"129",46.297312,-118.667127,"SE3",2021
"130",46.247507,-119.022666,"SE4",2021
"131",46.289744,-118.888066,"SE5",2021
"132",46.375787,-119.126529,"C01",2021
"133",46.370748,-119.239587,"C02",2021
"134",46.420081,-119.163077,"C03",2021
"135",46.402696,-119.134464,"C04",2021
"136",46.510526,-119.110312,"C05",2021
"137",46.539036,-119.241688,"C06",2021
"138",46.533399,-119.1590368,"C07",2021
"139",47.174166,-119.772872,"W01",2020
"140",47.077365,-119.679106,"W02",2020
"141",46.91034,-119.729758,"W03",2020
"142",46.938785,-119.776316,"W04",2020
"143",46.939082,-119.883059,"W05",2020
"144",46.719288,-119.880041,"W06",2020
"145",46.725804,-119.762664,"W07",2020
"146",47.055126,-119.844969,"W08",2020
"147",47.187373,-119.835002,"W09",2020
"148",47.165063,-119.648713,"NC1",2020
"149",47.019395,-119.5515,"NC2",2020
"150",46.896029,-119.600532,"NC3",2020
"151",46.875758,-119.365054,"NC4",2020
"152",46.92695,-119.328362,"NC5",2020
"153",46.697358,-119.255358,"NC6",2020
"154",47.152856,-119.487369,"NC7",2020
"155",47.14829,-119.123752,"N01",2020
"156",47.126306,-119.092294,"N02",2020
"157",47.05362,-118.933726,"N03",2020
"158",46.907344,-118.892673,"N04",2020
"159",46.797917,-118.915029,"N05",2020
"160",46.761697,-118.925521,"N06",2020
"161",46.829429,-119.120494,"N07",2020
"162",46.973889,-119.113611,"N08",2020
"163",47.067095,-119.15612,"N09",2020
"164",45.898789,-119.769853,"S01",2020
"165",45.931983,-119.790488,"S02",2020
"166",45.891099,-119.8623,"S03",2020
"167",45.988007,-119.576712,"S04",2020
"168",45.93865,-119.46122,"S05",2020
"169",45.95678,-119.176875,"S06",2020
"170",46.020703,-119.309468,"S07",2020
"171",46.021947,-119.219047,"S08",2020
"172",46.243925,-118.757546,"SE1",2020
"173",46.305627,-118.709709,"SE2",2020
"174",46.226113,-119.029355,"SE3",2020
"175",46.348984,-118.810452,"SE4",2020
"176",46.333154,-119.102795,"C01",2020
"177",46.369084,-119.223886,"C02",2020
"178",46.423308,-119.17145,"C03",2020
"179",46.434068,-119.138073,"C04",2020
"180",46.441817,-119.035447,"C05",2020
"181",46.494423,-119.170757,"C06",2020
"182",46.608167,-119.002041,"C07",2020
"183",46.59481,-119.245583,"C08",2020
"184",47.1647833,-119.8004333,"W01",2019
"185",47.0516333,-119.72475,"W02",2019
"186",47.2345833,-119.72505,"W03",2019
"187",46.9137333,-119.7232667,"W04",2019
"188",46.9555667,-119.8131333,"W05",2019
"189",46.7372,-119.8830833,"W06",2019
"190",46.7360333,-119.7701167,"W07",2019
"191",46.7076167,-119.7056667,"W08",2019
"192",47.2049333,-119.8360333,"W09",2019
"193",47.1917333,-119.6502667,"NC1",2019
"194",46.70035,-119.3451333,"NC2",2019
"195",47.1022167,-119.5765,"NC3",2019
"196",46.9949167,-119.6418833,"NC4",2019
"197",46.8732,-119.41975,"NC5",2019
"198",46.9229667,-119.3289167,"NC6",2019
"199",47.1368,-119.1717667,"N01",2019
"200",47.1294833,-119.0868333,"N02",2019
"201",47.0374667,-119.05845,"N03",2019
"202",47.0578,-119.2266333,"N04",2019
"203",46.9799,-119.13445,"N05",2019
"204",46.7648,-118.8741833,"N06",2019
"205",46.78005,-118.9707,"N07",2019
"206",46.8310333,-118.9644667,"N08",2019
"207",46.9406333,-118.88915,"N09",2019
"208",47.0483833,-118.918,"N10",2019
"209",46.2970667,-118.6814833,"S01",2019
"210",45.9413167,-119.8504333,"S02",2019
"211",45.88485,-119.8778833,"S03",2019
"212",45.977,-119.5791167,"S04",2019
"213",45.9432167,-119.46135,"S05",2019
"214",45.9590333,-119.2251167,"S06",2019
"215",46.0259167,-119.3101,"S07",2019
"216",46.0127833,-119.2419,"S08",2019
"217",46.2802667,-118.7576667,"SE1",2019
"218",46.2335833,-118.7594333,"SE2",2019
"219",46.24835,-119.0947333,"SE3",2019
"220",46.3271333,-119.1175833,"C01",2019
"221",46.3675167,-119.24,"C02",2019
"222",46.3774,-119.1715833,"C03",2019
"223",46.4019833,-119.07515,"C04",2019
"224",46.4257,-119.16465,"C05",2019
"225",46.4534,-119.1535333,"C06",2019
"226",46.5398167,-119.1141,"C07",2019
"227",46.5621833,-119.2416333,"C08",2019
"228",46.6889,-119.2061167,"C09",2019
"229",47.146467,-119.810833,"W01",2018
"230",47.089083,-119.694467,"W02",2018
"231",47.02635,-119.8554,"W03",2018
"232",46.913767,-119.782,"W04",2018
"233",46.68565,-119.874567,"W05",2018
"234",46.7203,-119.811083,"W06",2018
"235",46.72805,-119.74006,"W07",2018
"236",47.080517,-119.896967,"W08",2018
"237",47.190933,-119.771817,"W09",2018
"238",47.210617,-119.706017,"W10",2018
"239",47.169883,-119.6401,"NC1",2018
"240",47.133067,-119.573133,"NC2",2018
"241",47.03805,-119.564717,"NC3",2018
"242",46.928567,-119.619283,"NC4",2018
"243",46.871783,-119.3972,"NC5",2018
"244",46.709583,-119.197483,"NC6",2018
"245",47.042983,-119.2276,"NC7",2018
"246",47.137583,-119.158483,"N01",2018
"247",47.13735,-119.062833,"N02",2018
"248",47.071033,-118.960517,"N03",2018
"249",46.962333,-118.887733,"N04",2018
"250",46.866767,-118.9062,"N05",2018
"251",46.825817,-119.027017,"N06",2018
"252",46.766017,-118.988283,"N07",2018
"253",46.62065,-119.020183,"N08",2018
"254",46.88355,-119.106067,"N09",2018
"255",47.051633,-119.108683,"N10",2018
"256",45.900867,-119.722917,"S01",2018
"257",45.939767,-119.81935,"S02",2018
"258",45.89445,-119.891117,"S03",2018
"259",45.9916,-119.59605,"S04",2018
"260",45.943283,-119.473717,"S05",2018
"261",45.9483,-119.208633,"S06",2018
"262",46.0258,-119.31835,"S07",2018
"263",46.022586,-119.18981,"S08",2018
"264",46.276367,-118.7616,"SE1",2018
"265",46.219163,-118.752524,"SE2",2018
"266",46.276982,-118.855709,"SE3",2018
"267",46.3146,-119.21405,"C01",2018
"268",46.386917,-119.164283,"C02",2018
"269",46.402667,-119.092433,"C03",2018
"270",46.4821,-119.060367,"C04",2018
"271",46.49,-119.131767,"C05",2018
"272",46.452883,-119.1832,"C06",2018
"273",46.548717,-119.209317,"C07",2018
"274",46.577133,-119.118467,"C08",2018
"275",47.20365,-119.6875,"W1",2017
"276",47.15485,-119.789767,"W2",2017
"277",47.067983,-119.683617,"W3",2017
"278",47.080517,-119.799283,"W4",2017
"279",47.957483,-119.755233,"W5",2017
"280",47.90155,-119.747333,"W6",2017
"281",46.73035,-119.895217,"W7",2017
"282",46.7087,-119.746833,"W8",2017
"283",46.693833,-119.8736,"W9",2017
"284",47.0735,-119.883567,"W10",2017
"285",47.184033,-119.831883,"W 11",2017
"286",47.243767,-119.701433,"W12",2017
"287",47.21105,-119.61435,"NC1",2017
"288",47.147767,-119.674033,"NC2",2017
"289",47.071683,-119.524417,"NC3",2017
"290",47.002767,-119.546717,"NC4",2017
"291",46.91645,-119.47505,"NC5",2017
"292",46.872933,-119.415833,"NC6",2017
"293",46.7001,-119.3281,"NC7",2017
"294",47.15235,-119.1924,"N1",2017
"295",47.137467,-119.052833,"N2",2017
"296",47.044883,-118.938967,"N3",2017
"297",46.9188,-118.904967,"N4",2017
"298",46.876667,-118.962033,"N5",2017
"299",46.8247,-118.909583,"N6",2017
"300",46.833183,-119.054167,"N7",2017
"301",46.765917,-118.9706,"N8",2017
"302",46.684683,-118.9635,"N9",2017
"303",46.796617,-119.101567,"N10",2017
"304",46.858483,-119.111767,"N11",2017
"305",47.108833,-119.16685,"N12",2017
"306",45.90865,-119.853917,"S1",2017
"307",45.942183,-119.841917,"S2",2017
"308",45.9603,-119.790183,"S3",2017
"309",45.918317,-119.792483,"S4",2017
"310",45.984183,-119.5782,"S5",2017
"311",45.9632,-119.494683,"S6",2017
"312",45.943633,-119.454833,"S7",2017
"313",45.95075,-119.203083,"S8",2017
"314",46.0231,-119.295917,"S9",2017
"315",46.026867,-119.240967,"S10",2017
"316",46.286333,-118.743383,"SE1",2017
"317",46.283217,-118.665833,"SE2",2017
"318",46.238333,-118.770683,"SE3",2017
"319",46.279267,-118.866783,"SE4",2017
"320",46.358167,-119.16565,"C1",2017
"321",46.3709,-119.239667,"C2",2017
"322",46.376483,-119.141683,"C3",2017
"323",46.430717,-119.183633,"C4",2017
"324",46.476283,-119.170433,"C5",2017
"325",46.479167,-119.114183,"C6",2017
"326",46.450833,-119.040283,"C7",2017
"327",46.50935,-119.053283,"C8",2017
"328",46.562483,-119.0692,"C9",2017
"329",46.531533,-119.221583,"C10",2017
"330",47.1323333,-119.8073833,"W1",2016
"331",47.0739167,-119.6889167,"W2",2016
"332",47.0432,-119.8344,"W3",2016
"333",46.9686,-119.7686,"W4",2016
"334",46.9358833,-119.7603333,"W5",2016
"335",46.7220333,-119.79805,"W6",2016
"336",46.7291,-119.74485,"W7",2016
"337",46.6863833,-119.8737833,"W8",2016
"338",47.0728833,-119.9399,"W9",2016
"339",47.1926833,-119.85315,"W10",2016
"340",47.1869167,-119.6180333,"NC1",2016
"341",47.1134167,-119.64585,"NC2",2016
"342",47.1152833,-119.52395,"NC3",2016
"343",46.9567833,-119.4603667,"NC4",2016
"344",46.92495,-119.6428833,"NC5",2016
"345",46.8975833,-119.3560833,"NC6",2016
"346",46.7003,-119.3163,"NC7",2016
"347",47.1746333,-119.1917167,"N1",2016
"348",47.1446333,-119.0659667,"N2",2016
"349",47.0584,-118.96835,"N3",2016
"350",46.9113333,-118.8949833,"N4",2016
"351",46.8438167,-118.9623,"N5",2016
"352",46.76525,-118.9309333,"N6",2016
"353",46.7292,-119.00405,"N7",2016
"354",46.8538667,-119.0802167,"N8",2016
"355",46.9103,-119.0785833,"N9",2016
"356",46.9992833,-119.1148167,"N10",2016
"357",46.98955,-119.2585833,"N11",2016
"358",47.11225,-119.1719,"N12",2016
"359",45.9064667,-119.8130333,"S1",2016
"360",45.9458,-119.8504833,"S2",2016
"361",45.91365,-119.8469833,"S3",2016
"362",45.8874667,-119.8636833,"S4",2016
"363",45.9756167,-119.5804833,"S5",2016
"364",46.0086333,-119.4945333,"S6",2016
"365",45.9435,-119.4553,"S7",2016
"366",45.9532667,-119.22265,"S8",2016
"367",46.0262667,-119.3016833,"S9",2016
"368",46.0171833,-119.2349833,"S10",2016
"369",46.26945,-118.8646083,"SE1",2016
"370",46.2101,-118.6933167,"SE2",2016
"371",46.30365,-118.6435333,"SE3",2016
"372",46.29465,-118.68235,"SE4",2016
"373",46.3726972,-119.09215,"C1",2016
"374",46.3726472,-119.2254056,"C2",2016
"375",46.3945417,-119.2179083,"C3",2016
"376",46.4387056,-119.0397583,"C4",2016
"377",46.4790056,-119.0443917,"C5",2016
"378",46.5474111,-119.0402722,"C6",2016
"379",46.5617417,-119.1028667,"C7",2016
"380",46.5177222,-119.121125,"C8",2016
"381",46.4766667,-119.2221722,"C9",2016
"382",46.5446556,-119.2635861,"C10",2016
"383",47.10251667,-119.7671333,"W1",2015
"384",47.16836667,-119.7893333,"W1",2014
"385",47.12951667,-119.12815,"N1A",2013
"386",47.13001667,-119.1186833,"N1A",2012
"387",47.1394,-119.1718833,"N1A",2011
"388",47.01055,-119.1484833,"N1A",2010
"389",47.17686667,-119.8003333,"N1",2009
"390",46.97718333,-119.0888,"W20",2008
"391",47.10523333,-119.38355,"W1",2007
